test_case_id,variant_name,debit_tuple_exact_match,credit_tuple_exact_match,debit_tuple_slot_accuracy,credit_tuple_slot_accuracy,entry_valid,debit_tuple,credit_tuple,total_cost_usd,total_latency_ms,total_input_tokens,total_output_tokens,iteration_count,final_decision,fix_attempted,fix_succeeded,pre_fix_debit_tuple,post_fix_debit_tuple,pre_fix_credit_tuple,post_fix_credit_tuple,fix_root_cause_agent,rejection_reason,diagnostician_decision,error,variant
01_inventory_cash,with_evaluation,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.015438,31143,3856,258,1,error,,,,,,,,,,,with_evaluation
12_pay_salaries,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.014796,16446,3787,229,1,error,,,,,,,,,,,with_evaluation
02_inventory_on_account,with_evaluation,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.016284,19663,3958,294,1,error,,,,,,,,,,,with_evaluation
07_loan_to_equity,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",0.016173,17813,4081,262,1,error,,,,,,,,,,,with_evaluation
11_convert_preferred_to_common,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",0.016569,19157,4018,301,1,error,,,,,,,,,,,with_evaluation
15_no_entry,with_evaluation,True,True,1.0,1.0,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.015273000000000002,15964,3731,272,1,error,,,,,,,,,,,with_evaluation
05_pay_accounts_payable,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",0.016137,16901,3884,299,1,error,,,,,,,,,,,with_evaluation
10_declare_dividend,with_evaluation,True,True,1.0,1.0,True,"[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.015321,15108,3912,239,1,error,,,,,,,,,,,with_evaluation
06_refinance_loan,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.018105,23340,4215,364,1,error,,,,,,,,,,,with_evaluation
09_repurchase_stock,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",0.016278,16918,3906,304,1,error,,,,,,,,,,,with_evaluation
14_casualty_loss,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.017736,18386,4137,355,1,error,,,,,,,,,,,with_evaluation
13_accrue_utility,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.016572,17417,4024,300,1,error,,,,,,,,,,,with_evaluation
03_issue_stock_with_apic,with_evaluation,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]",0.017331,19642,4147,326,1,error,,,,,,,,,,,with_evaluation
