idx,run,n_correct,n_parseable,pass1,pass8,avg_response_len,has_marker_count,marker_rate,min_rel_err,avg_rel_err,has_near_miss,consistency,most_common_pred,gibberish_count
101,baseline,0,0,False,False,263.875,0,0.0,,,0,0.0,,0
102,baseline,0,0,False,False,302.25,0,0.0,,,0,0.0,,0
103,baseline,0,7,False,False,379.375,7,0.875,0.14583333333333334,0.6264880952380952,0,0.25,110,0
104,baseline,0,0,False,False,162.375,0,0.0,,,0,0.0,,1
105,baseline,0,1,False,False,238.375,1,0.125,0.875,0.875,0,0.125,4,1
106,baseline,0,3,False,False,493.5,3,0.375,0.125,8.875,0,0.125,190,0
107,baseline,0,1,False,False,267.125,1,0.125,0.5,0.5,0,0.125,30,0
108,baseline,0,4,False,False,295.375,4,0.5,0.13157894736842105,0.5,0,0.125,86,0
109,baseline,0,7,False,False,371.0,7,0.875,0.047619047619047616,0.42857142857142855,1,0.625,11,0
110,baseline,0,0,False,False,345.75,0,0.0,,,0,0.0,,0
111,baseline,0,0,False,False,134.25,0,0.0,,,0,0.0,,3
112,baseline,0,2,False,False,402.5,2,0.25,35.0,41.75,0,0.125,144,0
113,baseline,0,1,False,False,303.25,1,0.125,0.6634615384615384,0.6634615384615384,0,0.125,35,0
114,baseline,0,4,False,False,210.0,4,0.5,0.1,0.35,0,0.25,4,0
115,baseline,1,1,True,True,272.75,1,0.125,,,0,0.125,75,1
116,baseline,2,3,True,True,194.0,3,0.375,0.3333333333333333,0.3333333333333333,0,0.25,6,0
117,baseline,2,3,True,True,260.125,3,0.375,0.025,0.025,1,0.25,20000,1
118,baseline,1,6,False,True,307.875,6,0.75,0.25,3.825,0,0.25,5800,0
119,baseline,0,3,False,False,332.125,3,0.375,0.6666666666666666,0.7037037037037037,0,0.25,15,0
120,baseline,0,7,False,False,248.0,7,0.875,0.020833333333333332,0.20337301587301587,1,0.5,282,0
121,baseline,0,4,False,False,382.125,4,0.5,2.475,10.80625,0,0.125,139,2
122,baseline,0,5,False,False,391.625,5,0.625,0.07218045112781955,0.5037593984962406,1,0.125,875,0
123,baseline,0,0,False,False,194.875,0,0.0,,,0,0.0,,3
124,baseline,0,2,False,False,400.375,2,0.25,1.0,1.5,0,0.125,40,0
125,baseline,1,2,False,True,295.5,2,0.25,0.5,0.5,0,0.125,30,0
126,baseline,0,4,False,False,285.75,4,0.5,0.5,1.1458333333333333,0,0.125,50,1
127,baseline,0,0,False,False,232.5,0,0.0,,,0,0.0,,1
128,baseline,1,3,False,True,209.0,3,0.375,0.25,0.25,0,0.125,10,1
129,baseline,0,2,False,False,225.625,2,0.25,0.2,0.2875,0,0.125,27.5,0
130,baseline,0,0,False,False,199.25,0,0.0,,,0,0.0,,1
131,baseline,0,1,False,False,273.5,1,0.125,0.6417112299465241,0.6417112299465241,0,0.125,134,1
132,baseline,0,3,False,False,305.625,3,0.375,0.0625,2.066666666666667,1,0.125,34,0
133,baseline,0,6,False,False,271.5,6,0.75,0.12337662337662338,0.5006493506493507,0,0.25,5400,0
134,baseline,0,2,False,False,252.25,2,0.25,0.25,0.29166666666666663,0,0.125,40,0
135,baseline,0,0,False,False,295.0,0,0.0,,,0,0.0,,1
136,baseline,1,2,False,True,290.5,2,0.25,6.75,6.75,0,0.125,40,2
137,baseline,1,1,False,True,364.0,1,0.125,,,0,0.125,8,0
138,baseline,0,1,False,False,431.125,1,0.125,0.1702127659574468,0.1702127659574468,0,0.125,39,0
139,baseline,0,0,False,False,277.375,0,0.0,,,0,0.0,,0
140,baseline,0,0,False,False,150.875,0,0.0,,,0,0.0,,4
141,baseline,0,0,False,False,412.125,0,0.0,,,0,0.0,,1
142,baseline,0,2,False,False,393.0,2,0.25,0.028169014084507043,0.028169014084507043,1,0.125,138,1
143,baseline,0,7,False,False,306.375,7,0.875,0.034782608695652174,0.09440993788819876,1,0.5,555,0
144,baseline,0,6,False,False,305.625,6,0.75,0.11764705882352941,0.14705882352941177,0,0.625,60,0
145,baseline,0,6,False,False,424.0,6,0.75,0.03125,10.692708333333334,1,0.25,15,0
146,baseline,0,3,False,False,342.25,3,0.375,0.32065217391304346,1.40625,0,0.125,2974,0
147,baseline,1,5,False,True,327.25,5,0.625,0.18518518518518517,0.18518518518518517,0,0.5,22,0
148,baseline,0,0,False,False,345.375,0,0.0,,,0,0.0,,0
149,baseline,2,7,True,True,269.625,7,0.875,0.5,0.8375,0,0.25,32,0
150,baseline,0,3,False,False,282.5,3,0.375,0.06666666666666667,0.37777777777777777,1,0.25,14,0
151,baseline,0,5,False,False,474.75,5,0.625,0.40625,2.2058333333333335,0,0.125,285,0
152,baseline,0,0,False,False,308.25,0,0.0,,,0,0.0,,0
153,baseline,0,0,False,False,145.625,0,0.0,,,0,0.0,,2
154,baseline,0,4,False,False,368.0,4,0.5,0.12903225806451613,0.6478494623655915,0,0.125,105,1
155,baseline,0,5,False,False,322.125,5,0.625,0.4,4.279999999999999,0,0.125,18,0
156,baseline,0,8,False,False,326.875,8,1.0,0.14285714285714285,0.14285714285714285,0,1.0,16,0
157,baseline,0,2,False,False,155.625,2,0.25,0.96,11.98,0,0.125,0.4,1
158,baseline,1,5,False,True,270.0,5,0.625,0.375,0.40625,0,0.375,55,0
159,baseline,8,8,True,True,278.5,8,1.0,,,0,1.0,4,0
160,baseline,0,5,False,False,465.625,5,0.625,0.12,1.568,0,0.25,7500,0
161,baseline,8,8,True,True,258.375,8,1.0,,,0,1.0,5,0
162,baseline,0,0,False,False,248.125,0,0.0,,,0,0.0,,1
163,baseline,0,1,False,False,298.75,1,0.125,0.8588235294117647,0.8588235294117647,0,0.125,12,0
164,baseline,0,4,False,False,284.0,4,0.5,3.0,6.1,0,0.125,1200,0
165,baseline,3,6,False,True,306.125,6,0.75,0.25,0.48333333333333334,0,0.375,20,0
166,baseline,0,2,False,False,342.75,2,0.25,0.0625,0.10416666666666667,1,0.125,55,1
167,baseline,0,0,False,False,186.875,0,0.0,,,0,0.0,,1
168,baseline,0,7,False,False,477.75,7,0.875,0.0975609756097561,4.975609756097561,1,0.25,25,0
169,baseline,1,3,False,True,267.125,3,0.375,1.3333333333333333,16.666666666666668,0,0.125,35,0
170,baseline,0,2,False,False,179.875,2,0.25,0.375,0.7291666666666666,0,0.125,100,0
171,baseline,0,2,False,False,240.625,2,0.25,0.3333333333333333,0.65,0,0.125,0.5,0
172,baseline,0,1,False,False,258.375,1,0.125,0.8113207547169812,0.8113207547169812,0,0.125,20,0
173,baseline,0,2,False,False,376.125,2,0.25,0.35714285714285715,0.5714285714285714,0,0.125,3,0
174,baseline,0,3,False,False,271.5,3,0.375,0.47058823529411764,1.0392156862745099,0,0.125,100,0
175,baseline,1,6,True,True,377.25,6,0.75,0.2727272727272727,0.6393939393939394,0,0.25,30,0
176,baseline,2,7,False,True,354.75,7,0.875,0.5,9.7,0,0.5,260,0
177,baseline,0,2,False,False,221.875,2,0.25,0.7619047619047619,4.642857142857142,0,0.125,400,2
178,baseline,0,2,False,False,473.5,2,0.25,0.16666666666666666,0.41666666666666663,0,0.125,25,0
179,baseline,0,2,False,False,298.75,2,0.25,1.0,1.0,0,0.25,30,0
180,baseline,2,5,False,True,449.5,5,0.625,0.0625,0.18541666666666665,1,0.25,16,0
181,baseline,0,3,False,False,378.25,3,0.375,0.21115537848605578,5.434262948207171,0,0.125,198,0
182,baseline,0,3,False,False,449.875,3,0.375,0.11428571428571428,0.3523809523809524,0,0.125,195,0
183,baseline,1,1,False,True,133.375,1,0.125,,,0,0.125,32,2
184,baseline,0,3,False,False,264.125,3,0.375,0.3,0.3,0,0.375,65,1
185,baseline,0,5,False,False,299.0,5,0.625,0.45454545454545453,0.6496969696969697,0,0.375,180000,1
186,baseline,0,0,False,False,108.0,0,0.0,,,0,0.0,,3
187,baseline,0,3,False,False,313.25,3,0.375,0.16666666666666666,10.0,0,0.125,10,0
188,baseline,4,8,False,True,235.5,8,1.0,0.16666666666666666,0.5416666666666666,0,0.5,18,0
189,baseline,0,0,False,False,209.75,0,0.0,,,0,0.0,,2
190,baseline,3,5,False,True,294.375,5,0.625,0.09523809523809523,0.14285714285714285,1,0.375,21,1
191,baseline,4,6,True,True,179.75,6,0.75,0.041666666666666664,0.5208333333333334,1,0.5,240,0
192,baseline,0,5,False,False,458.25,5,0.625,0.10909090909090909,0.21090909090909093,0,0.375,45,0
193,baseline,0,6,False,False,221.875,6,0.75,0.04081632653061224,0.29931972789115646,1,0.5,290,0
194,baseline,0,4,False,False,411.5,4,0.5,0.5,115.625,0,0.125,7800,1
195,baseline,0,1,False,False,535.75,1,0.125,0.6666666666666666,0.6666666666666666,0,0.125,27,0
196,baseline,0,2,False,False,244.5,2,0.25,0.1,0.1,0,0.25,225,1
197,baseline,8,8,True,True,211.25,8,1.0,,,0,1.0,800,0
198,baseline,0,3,False,False,273.25,3,0.375,0.5,64.83333333333333,0,0.125,756,1
199,baseline,0,3,False,False,452.375,3,0.375,0.5,7.5773809523809526,0,0.125,7000,0
200,baseline,0,4,False,False,176.25,4,0.5,1.0,4.375,0,0.125,12,1
201,baseline,7,8,True,True,293.875,8,1.0,0.2,0.2,0,0.875,250,0
202,baseline,0,2,False,False,605.125,2,0.25,0.4098360655737705,0.5901639344262295,0,0.125,84,0
203,baseline,0,0,False,False,240.75,0,0.0,,,0,0.0,,1
204,baseline,2,7,False,True,319.5,7,0.875,0.2857142857142857,0.2857142857142857,0,0.625,5,1
205,baseline,0,3,False,False,187.25,3,0.375,0.07407407407407407,0.611111111111111,1,0.125,50,1
206,baseline,0,3,False,False,354.0,3,0.375,0.4,0.7047619047619048,0,0.25,10,0
207,baseline,0,7,False,False,275.5,7,0.875,0.01098901098901099,0.15907901622187337,1,0.25,279,0
208,baseline,0,1,False,False,368.125,1,0.125,0.6,0.6,0,0.125,480,0
209,baseline,0,3,False,False,309.25,3,0.375,0.13333333333333333,0.7555555555555555,0,0.125,85,0
210,baseline,1,7,False,True,318.75,7,0.875,0.1791044776119403,0.33830845771144274,0,0.5,195,0
211,baseline,6,6,False,True,197.625,6,0.75,,,0,0.75,300,0
212,baseline,0,4,False,False,212.0,4,0.5,8.0,15.5,0,0.375,19,0
213,baseline,8,8,True,True,314.0,8,1.0,,,0,1.0,300,0
214,baseline,0,4,False,False,314.0,4,0.5,0.005025125628140704,0.3040201005025126,1,0.125,436,1
215,baseline,0,5,False,False,163.375,5,0.625,0.3333333333333333,0.9185185185185185,0,0.25,63,1
216,baseline,0,1,False,False,226.625,1,0.125,0.6111111111111112,0.6111111111111112,0,0.125,16800,1
217,baseline,2,2,False,True,354.625,2,0.25,,,0,0.25,130,0
218,baseline,0,7,False,False,263.75,7,0.875,0.5454545454545454,0.6493506493506492,0,0.625,170,0
219,baseline,0,6,False,False,419.625,6,0.75,0.16666666666666666,0.5,0,0.375,7,0
220,baseline,7,7,True,True,196.75,7,0.875,,,0,0.875,30,0
221,baseline,0,0,False,False,341.125,0,0.0,,,0,0.0,,0
222,baseline,0,7,False,False,378.75,7,0.875,0.9,0.9857142857142858,0,0.75,160,0
223,baseline,2,6,True,True,302.5,6,0.75,0.3333333333333333,0.3333333333333333,0,0.5,24,1
224,baseline,5,5,False,True,193.875,5,0.625,,,0,0.625,5,1
225,baseline,0,6,False,False,356.5,6,0.75,0.14285714285714285,0.35714285714285704,0,0.5,5,1
226,baseline,0,5,False,False,345.75,5,0.625,0.292,2.6784000000000003,0,0.125,336,1
227,baseline,6,6,False,True,280.625,6,0.75,,,0,0.75,300,0
228,baseline,4,4,False,True,203.25,4,0.5,,,0,0.5,22,0
229,baseline,0,0,False,False,262.875,0,0.0,,,0,0.0,,0
230,baseline,0,0,False,False,311.0,0,0.0,,,0,0.0,,0
231,baseline,0,2,False,False,220.25,2,0.25,0.8554275318374772,0.8758641600970285,0,0.125,9536,1
232,baseline,3,7,False,True,303.5,7,0.875,0.1,0.4375,0,0.375,20,0
233,baseline,0,1,False,False,303.0,1,0.125,0.9411764705882353,0.9411764705882353,0,0.125,125,0
234,baseline,0,5,False,False,383.625,5,0.625,0.45454545454545453,6.8545454545454545,0,0.125,11600,0
235,baseline,1,6,False,True,431.625,6,0.75,0.7142857142857143,1.1428571428571428,0,0.375,30,0
236,baseline,7,8,True,True,281.125,8,1.0,0.6666666666666666,0.6666666666666666,0,0.875,3,0
237,baseline,1,1,False,True,164.5,1,0.125,,,0,0.125,33,0
238,baseline,2,3,False,True,197.375,3,0.375,19.0,19.0,0,0.25,2400,1
239,baseline,0,0,False,False,259.625,0,0.0,,,0,0.0,,2
240,baseline,2,5,False,True,298.0,5,0.625,0.5222222222222223,0.7259259259259259,0,0.25,180000,0
241,baseline,0,2,False,False,293.375,2,0.25,3.75,26.25,0,0.125,995,2
242,baseline,0,0,False,False,304.75,0,0.0,,,0,0.0,,0
243,baseline,0,5,False,False,433.375,5,0.625,0.28,0.45599999999999996,0,0.125,27,0
244,baseline,0,4,False,False,341.375,4,0.5,0.4,0.6835,0,0.25,1,0
245,baseline,0,0,False,False,245.125,0,0.0,,,0,0.0,,1
246,baseline,0,3,False,False,175.0,3,0.375,0.1111111111111111,0.38888888888888884,0,0.125,42,0
247,baseline,0,1,False,False,370.0,1,0.125,0.0743801652892562,0.0743801652892562,1,0.125,1120,0
248,baseline,0,0,False,False,223.625,0,0.0,,,0,0.0,,1
249,baseline,0,0,False,False,266.0,0,0.0,,,0,0.0,,0
250,baseline,0,4,False,False,413.625,4,0.5,0.4642857142857143,0.8839285714285714,0,0.125,121,0
251,baseline,0,4,False,False,262.875,4,0.5,0.16666666666666666,1.6875000000000002,0,0.125,320,0
252,baseline,0,0,False,False,210.375,0,0.0,,,0,0.0,,3
253,baseline,0,0,False,False,213.25,0,0.0,,,0,0.0,,0
254,baseline,0,0,False,False,138.0,0,0.0,,,0,0.0,,0
255,baseline,0,2,False,False,230.0,2,0.25,3.0,3.75,0,0.125,110,1
256,baseline,2,2,False,True,294.875,2,0.25,,,0,0.25,3,0
257,baseline,0,5,False,False,260.5,5,0.625,0.11363636363636363,0.3181818181818182,0,0.125,390,1
258,baseline,0,0,False,False,152.75,0,0.0,,,0,0.0,,0
259,baseline,3,5,False,True,375.375,5,0.625,1.5,2.0,0,0.375,2,0
260,baseline,4,7,True,True,328.75,7,0.875,1.7777777777777777,10.74074074074074,0,0.5,18,0
261,baseline,0,8,False,False,329.0,8,1.0,0.05851063829787234,0.09441489361702128,1,0.625,177,0
262,baseline,0,5,False,False,378.375,5,0.625,3.375,5.325,0,0.25,35,0
263,baseline,0,5,False,False,290.5,5,0.625,0.8888888888888888,0.9488888888888889,0,0.375,1,0
264,baseline,0,4,False,False,201.5,4,0.5,0.375,0.65625,0,0.375,10,0
265,baseline,0,0,False,False,230.625,0,0.0,,,0,0.0,,2
266,baseline,0,0,False,False,185.0,0,0.0,,,0,0.0,,2
267,baseline,0,3,False,False,187.125,3,0.375,0.18883415435139572,0.44663382594417084,0,0.125,988,0
268,baseline,2,6,False,True,364.375,6,0.75,0.15476190476190477,8.404761904761905,0,0.25,1260,0
269,baseline,1,7,False,True,317.375,7,0.875,3.230769230769231,10.333333333333334,0,0.125,187,0
270,baseline,4,8,False,True,243.5,8,1.0,0.09090909090909091,0.13636363636363638,1,0.5,22,0
271,baseline,0,3,False,False,377.125,3,0.375,0.6774193548387096,0.7956989247311829,0,0.125,10,0
272,baseline,0,5,False,False,325.5,5,0.625,0.5714285714285714,0.5714285714285714,0,0.625,45,0
273,baseline,0,8,False,False,196.25,8,1.0,0.6,0.6,0,1.0,40,0
274,baseline,0,0,False,False,408.0,0,0.0,,,0,0.0,,0
275,baseline,0,2,False,False,212.125,2,0.25,0.5,0.5,0,0.25,20,1
276,baseline,0,4,False,False,407.0,4,0.5,0.8688888888888889,0.8922222222222222,0,0.375,1800,0
277,baseline,0,6,False,False,340.125,6,0.75,0.2857142857142857,0.7142857142857143,0,0.25,15,0
278,baseline,3,3,False,True,255.5,3,0.375,,,0,0.375,75,0
279,baseline,0,4,False,False,249.0,4,0.5,0.14285714285714285,0.3035714285714286,0,0.125,17,0
280,baseline,2,5,False,True,276.75,5,0.625,0.5,0.75,0,0.25,30,0
281,baseline,7,8,True,True,340.5,8,1.0,1.3333333333333333,1.3333333333333333,0,0.875,15,0
282,baseline,0,0,False,False,181.125,0,0.0,,,0,0.0,,0
283,baseline,0,3,False,False,403.625,3,0.375,0.6,0.7398148148148147,0,0.125,720,0
284,baseline,1,1,False,True,230.5,1,0.125,,,0,0.125,140,0
285,baseline,0,1,False,False,162.5,1,0.125,0.058823529411764705,0.058823529411764705,1,0.125,16000,0
286,baseline,4,4,False,True,226.0,4,0.5,,,0,0.5,45,0
287,baseline,0,0,False,False,372.375,0,0.0,,,0,0.0,,1
288,baseline,1,1,False,True,355.25,1,0.125,,,0,0.125,160,0
289,baseline,0,0,False,False,227.875,0,0.0,,,0,0.0,,1
290,baseline,7,8,True,True,331.75,8,1.0,0.5,0.5,0,0.875,12,0
291,baseline,0,0,False,False,454.625,0,0.0,,,0,0.0,,0
292,baseline,0,5,False,False,337.25,5,0.625,0.3888888888888889,0.4444444444444445,0,0.25,50,0
293,baseline,0,0,False,False,239.125,0,0.0,,,0,0.0,,2
294,baseline,0,0,False,False,271.625,0,0.0,,,0,0.0,,1
295,baseline,0,0,False,False,288.5,0,0.0,,,0,0.0,,0
296,baseline,0,0,False,False,222.0,0,0.0,,,0,0.0,,1
297,baseline,0,2,False,False,346.5,2,0.25,2.0,2.0,0,0.25,3,0
298,baseline,0,0,False,False,287.875,0,0.0,,,0,0.0,,0
299,baseline,0,2,False,False,263.625,2,0.25,0.01440922190201729,0.13544668587896252,1,0.125,516,2
300,baseline,0,4,False,False,340.625,4,0.5,0.11627906976744186,0.4744186046511628,0,0.25,240,0
301,baseline,3,5,False,True,510.375,5,0.625,0.625,1.0625,0,0.375,32,1
302,baseline,0,2,False,False,249.125,2,0.25,1.6666666666666667,1.9166666666666665,0,0.125,38,0
303,baseline,0,1,False,False,242.625,1,0.125,0.11764705882352941,0.11764705882352941,0,0.125,30,1
304,baseline,2,7,True,True,320.5,7,0.875,0.1,0.58,0,0.25,10,0
305,baseline,0,1,False,False,201.875,1,0.125,0.4,0.4,0,0.125,15,0
306,baseline,0,4,False,False,321.5,4,0.5,0.25,0.9989583333333334,0,0.125,610,0
307,baseline,2,7,False,True,339.125,7,0.875,0.25,0.3875,0,0.375,12,0
308,baseline,0,0,False,False,96.0,0,0.0,,,0,0.0,,2
309,baseline,0,0,False,False,160.5,0,0.0,,,0,0.0,,1
310,baseline,0,0,False,False,168.0,0,0.0,,,0,0.0,,0
311,baseline,0,0,False,False,264.625,0,0.0,,,0,0.0,,1
